txn_id,value_date,customer_name_raw,amount_usd,reference_text,payment_method
BNK-1001,2026-03-02,Acme Corp,10000.00,INV-808 PAYMENT,ACH
BNK-1002,2026-03-02,ACME CORPORATION,9500.00,PO-5541,ACH
BNK-1003,2026-03-03,Globex Industries,9995.00,INV-902,WIRE
BNK-1004,2026-03-03,Wayne Enterprises,5000.00,,WIRE
BNK-1005,2026-03-04,,2000.00,,WIRE
BNK-1006,2026-03-04,Initech LLC,7200.00,DEL-7712,ACH
BNK-1007,2026-03-05,Soylent Corp,4300.00,INV-955 DTD 2026-02-18,ACH
BNK-1008,2026-03-05,Umbrella Health,15000.00,REMITTANCE ATTACHED,WIRE
BNK-1009,2026-03-06,Stark Industries,8700.00,INV-1180,ACH
BNK-1010,2026-03-06,Hooli Inc,12000.00,INV-1201,ACH
